original,phonetic,syllables
монда,монда,SVS-CV
кемдә,кемдә,CVS-CV
эше,эше,V-CV
бар,бар,CVS
һәрбер,һәрбер,CVS-CVS
җылы,җылы,CV-SV
тунлы,тунлы,CVS-SV
кешеләрнең,кешеләрнең,CV-CV-SVS-SVS
җылы,җылы,CV-SV
бүрке,бүрке,CVS-CV
торыр,торыр,CV-SVS
төше,төше,CV-CV
бар,бар,CVS
тик,тик,CVC
чаттагы,чаттагы,CVC-CV-CV
бабай,бабаj,CV-CVS
барабыз,барабыз,CV-SV-CVC
ның,ның,SVS
бик,бик,CVC
үк,үк,VC
әйбәт,әjбәт,VS-CVC
түгел,түгел,CV-CVS
тормышы,тормышы,CVS-SV-CV
һәр,һәр,CVS
көн,көн,CVS
таңнан,таңнан,CVS-SVS
алып,алып,V-SVC
кичкә,кичкә,CVC-CV
кадәр,кадәр,CV-CVS
салкын,салкын,CVS-CVS
урам,урам,V-SVS
торган,торган,CVS-CVS
урнысы,урнысы,VS-SV-CV
җанкисәгем,җанкисәгем,CVS-CV-CVCVS
бабай,бабаj,CV-CVS
барабыз,барабыз,CV-SV-CVC
атың,атың,V-CVS
белән,белән,CV-SVS
сатып,сатып,CV-CVC
алабыз,алабыз,V-SV-CVC
студентта,студентта,CCV-CVSC-CV
акча,акча,VC-CV
бик,бик,CVC
күп,күп,CVC
була,була,CV-SV
әй,әj,VS
ун,ун,VS
тиенгә,тиjенгә,CV-SVS-CV
илтсәң,илтсәң,VSC-CVS
барабыз,барабыз,CV-SV-CVC
алсу,алсу,VS-CV
бүлмәсенә,бүлмәсенә,CVS-SV-CV-SV
керү,керү,CV-SV
белән,белән,CV-SVS
өске,өске,VC-CV
киемен,киjемен,CV-SV-SVS
алып,алып,V-SVC
ташлады,ташлады,CVC-SV-CV
ватык,wатык,SV-CVC
көзгесенә,көзгесенә,CVC-CV-CV-SV
карый,карыj,CV-SVS
карый,карыj,CV-SVS
карлы,карлы,CVS-SV
чәчен,чәчен,CV-CVS
сүтә,сүтә,CV-CV
башлады,башлады,CVC-SV-CV
газзә,газзә,CVC-CV
кара,кара,CV-SV
ничек,ничек,SV-CVC
минем,минем,SV-SVS
чәчләр,чәчләр,CVC-SVS
бер,бер,CVS
берсенә,берсенә,CVS-CV-SV
ябшып,jабшып,SVC-CVC
туңганнар,туңганнар,CVS-CVS-SVS
карлы,карлы,CVS-SV
чәчләр,чәчләр,CVC-SVS
сиңа,сиңа,CV-SV
килешә,килешә,CV-SV-CV
алсу,алсу,VS-CV
үз,үз,VC
чәчеңнән,чәчеңнән,CV-CVS-SVS
матур,матур,SV-CVS
булганнар,булганнар,CVS-CVS-SVS
алсу,алсу,VS-CV
күзен,күзен,CV-CVS
алмый,алмыj,VS-SVS
үзен,үзен,V-CVS
карый,карыj,CV-SVS
үзе,үзе,V-CV
матур,матур,SV-CVS
үзе,үзе,V-CV
сөйкемле,сөjкемле,CVS-CVS-SV
үзе,үзе,V-CV
усал,усал,V-CVS
үзе,үзе,V-CV
болай,болаj,CV-SVS
бер,бер,CVS
дә,дә,CV
усал,усал,V-CVS
түгел,түгел,CV-CVS
кебек,кебек,CV-CVC
шикелле,шикелле,CV-CVS-SV
аңа,аңа,V-SV
бүген,бүген,CV-CVS
әллә,әллә,VS-SV
нәрсә,нәрсә,SVS-CV
булган,булган,CVS-CVS
бер,бер,CVS
җырлыйсы,җырлыjсы,CVS-SVS-CV
килә,килә,CV-SV
бер,бер,CVS
көлә,көлә,CV-SV
бер,бер,CVS
онтылып,онтылып,VS-CV-SVC
кинәт,кинәт,CV-SVC
керфекләре,керфекләре,CVS-CVC-SV-SV
бер,бер,CVS
ноктага,ноктага,SVC-CV-CV
килеп,килеп,CV-SVC
төртелә,төртелә,CVS-CV-SV
ташта,ташта,CVC-CV
әле,әле,V-SV
газзә,газзә,CVC-CV
зачетыңны,зачотыңны,CV-CVCVS-SV
их,их,VC
үбәсем,үбәсем,V-CVCVS
килә,килә,CV-SV
үзеңне,үзеңне,V-CVS-SV
ну,ну,SV
үбәсем,үбәсем,V-CVCVS
килә,килә,CV-SV
үзеңне,үзеңне,V-CVS-SV
тыңла,тыңла,CVS-SV
инде,инде,VS-CV
бер,бер,CVS
кат,кат,CVC
сүземне,сүземне,CV-CVS-SV
газзә,газзә,CVC-CV
ирексездән,ирексездән,V-SVC-CVCCVS
эшен,эшен,V-CVS
ташлап,ташлап,CVC-SVC
сүгнә,сүгнә,CVC-SV
сүгнә,сүгнә,CVC-SV
килә,килә,CV-SV
янына,jанына,SV-SV-SV
тфү,тфү,CCV
каһәр,каһәр,CV-CVS
суккан,суккан,CVC-CVS
ачуың,ачуың,V-CV-VS
килмәгәе,килмәгәjе,CVS-SV-CV-SV
тоз,тоз,CVC
саласын,саласын,CV-SV-CVS
инде,инде,VS-CV
каныма,каныма,CV-SV-SV
син,син,CVS
шул,шул,CVS
кызый,кызыj,CV-CVS
үзен,үзен,V-CVS
зачетыңны,зачотыңны,CV-CVCVS-SV
бик,бик,CVC
соң,соң,CVS
хәзерләргә,хәзерләргә,CV-CVS-SVS-CV
башлыйсың,башлыjсың,CVC-SVS-CVS
үзең,үзең,V-CVS
бездән,бездән,CVC-CVS
алда,алда,VS-CV
биреп,биреп,CV-SVC
ташлыйсың,ташлыjсың,CVC-SVS-CVS
ә,ә,V
без,без,CVC
ул,ул,VS
алсуга,алсуга,VS-CV-CV
ачу,ачу,V-CV
белән,белән,CV-SVS
карый,карыj,CV-SVS
тик,тик,CVC
ачуы,ачуы,V-CV-V
бик,бик,CVC
тиз,тиз,CVC
басыла,басыла,CV-CV-SV
алсу,алсу,VS-CV
бала,бала,CV-SV
кебек,кебек,CV-CVC
елмая,jылмаjа,SVS-SV-SV
да,да,CV
иңнәренә,иңнәренә,VS-SV-SV-SV
килеп,килеп,CV-SVC
асыла,асыла,V-CV-SV
газзә,газзә,CVC-CV
түзми,түзми,CVC-SV
аның,аның,V-SVS
сүзен,сүзен,CV-CVS
көтә,көтә,CV-CV
үзе,үзе,V-CV
уйлый,уjлыj,VS-SVS
зачет,зачот,CV-CVC
бирәсен,бирәсен,CV-SV-CVS
алсу,алсу,VS-CV
көлә,көлә,CV-SV
көлә,көлә,CV-SV
күзенә,күзенә,CV-CV-SV
карый,карыj,CV-SVS
соң,соң,CVS
ул,ул,VS
аңа,аңа,V-SV
нәрсә,нәрсә,SVS-CV
сөйләсен,сөjләсен,CVS-SV-CVS
сөйләсенме,сөjләсенме,CVS-SV-CVS-SV
матур,матур,SV-CVS
яшьлегенең,jәшлегенең,SVC-SV-CV-SVS
зур,зур,CVS
елларга,jылларга,SVS-SVS-CV
туры,туры,CV-SV
килүен,килүен,CV-SV-VS
сөйләсенме,сөjләсенме,CVS-SV-CVS-SV
җирне,җирне,CVS-SV
бүгенгене,бүгенгене,CV-CVS-CV-SV
бар,бар,CVS
нәрсәне,нәрсәне,SVS-CV-SV
өзелеп,өзелеп,V-CV-SVC
сөюен,сөjүен,CV-SV-VS
һәр,һәр,CVS
кояшлы,коjашлы,CV-SVC-SV
иртә,иртә,VS-CV
аның,аның,V-SVS
өчен,өчен,V-CVS
яна,jана,SV-SV
уйлар,уjлар,VS-SVS
алып,алып,V-SVC
китерсә,китерсә,CV-CVS-CV
бүгенгенең,бүгенгенең,CV-CVS-CV-SVS
һәрбер,һәрбер,CVS-CVS
матурлыгы,матурлыгы,SV-CVS-SV-CV
үзе,үзе,V-CV
белән,белән,CV-SVS
аны,аны,V-SV
исертә,исертә,V-CVS-CV
шуның,шуның,CV-SVS
өчен,өчен,V-CVS
бүген,бүген,CV-CVS
ул,ул,VS
төн,төн,CVS
белән,белән,CV-SVS
бер,бер,CVS
хат,хат,CVC
язды,jазды,SVC-CV
карты,карты,CVS-CV
исменә,исменә,VC-SV-SV
карты,карты,CVS-CV
кемдер,кемдер,CVS-CVS
кәкре,кәкре,CVC-SV
юллар,jуллар,SVS-SVS
ясап,jасап,SV-CVC
сызып,сызып,CV-CVC
сызып,сызып,CV-CVC
алды,алды,VS-CV
тиз,тиз,CVC
генә,генә,CV-SV
хатның,хатның,CVC-SVS
соңгы,соңгы,CVS-CV
юлы,jулы,SV-SV
бик,бик,CVC
сагынсаң,сагынсаң,CV-CVS-CVS
хатым,хатым,CV-CVS
бассын,бассын,CVC-CVS
күңлен,күңлен,CVS-SVS
ярсуын,jарсуын,SVS-CV-VS
бик,бик,CVC
бәхетле,бәхетле,CV-CVC-SV
синең,синең,CV-SVS
алсуың,алсуың,VS-CV-VS
хаты,хаты,CV-CV
белән,белән,CV-SVS
бергә,бергә,CVS-CV
яңа,jаңа,SV-SV
төшкән,төшкән,CVC-CVS
рәсмен,рәсмен,SVC-SVS
салды,салды,CVS-CV
үзенең,үзенең,V-CV-SVS
картына,картына,CVS-CV-SV
кулына,кулына,CV-SV-SV
соңгы,соңгы,CVS-CV
кабат,кабат,CV-CVC
рәсмен,рәсмен,SVC-SVS
алып,алып,V-SVC
шул,шул,CVS
сүзләрне,сүзләрне,CVC-SVS-SV
язды,jазды,SVC-CV
артына,артына,VS-CV-SV
бу,бу,CV
алсуың,алсуың,VS-CV-VS
синең,синең,CV-SVS
күрәсеңме,күрәсеңме,CV-SV-CVS-SV
нинди,нинди,SVS-CV
матур,матур,SV-CVS
булып,булып,CV-SVC
утырган,утырган,V-CVS-CVS
кара,кара,CV-SV
башкаларга,башкаларга,CVC-CV-SVS-CV
мине,мине,SV-SV
алмаштырма,алмаштырма,VS-SVC-CVS-SV
кадрем,кадрем,CVC-SVS
белеп,белеп,CV-SVC
яшә,jәшә,SV-CV
чукынган,чукынган,CV-CVS-CVS
коридордан,коридордан,CV-SV-CVS-CVS
басып,басып,CV-CVC
алсу,алсу,VS-CV
килә,килә,CV-SV
үзе,үзе,V-CV
матур,матур,SV-CVS
үзе,үзе,V-CV
сөйкемле,сөjкемле,CVS-CVS-SV
үзе,үзе,V-CV
усал,усал,V-CVS
үзе,үзе,V-CV
болай,болаj,CV-SVS
бер,бер,CVS
дә,дә,CV
усал,усал,V-CVS
түгел,түгел,CV-CVS
кебек,кебек,CV-CVC
шикелле,шикелле,CV-CVS-SV
ул,ул,VS
дәрескә,дәрескә,CV-SVC-CV
бүген,бүген,CV-CVS
бик,бик,CVC
соң,соң,CVS
килде,килде,CVS-CV
әллә,әллә,VS-SV
кайда,каjда,CVS-CV
йөреп,jөреп,SV-SVC
кичеккән,кичеккән,CV-CVC-CVS
үзе,үзе,V-CV
соңга,соңга,CVS-CV
калган,калган,CVS-CVS
үзе,үзе,V-CV
әле,әле,V-SV
көлә,көлә,CV-SV
көлә,көлә,CV-SV
керә,керә,CV-SV
ишектән,ишектән,V-CVC-CVS
үзе,үзе,V-CV
дәрес,дәрес,CV-SVC
тыңлый,тыңлыj,CVS-SVS
үзе,үзе,V-CV
бер,бер,CVS
дә,дә,CV
тыңламаган,тыңламаган,CVS-SV-SV-CVS
кебек,кебек,CV-CVC
итенә,итенә,V-CV-SV
үзе,үзе,V-CV
профессорның,профессорның,CSV-CVC-CVS-SVS
дәрсен,дәрсен,CVS-CVS
яза,jаза,SV-CV
үзе,үзе,V-CV
аның,аның,V-SVS
борнын,борнын,CVS-SVS
кәкре,кәкре,CVC-SV
итеп,итеп,V-CVC
төшреп,төшреп,CVC-SVC
куя,куjа,CV-SV
дәфтәр,дәфтәр,CVC-CVS
читенә,читенә,CV-CV-SV
үзе,үзе,V-CV
зачетларын,зачотларын,CV-CVC-SV-SVS
хәзерләргә,хәзерләргә,CV-CVS-SVS-CV
барыннан,барыннан,CV-SVS-SVS
да,да,CV
соңрак,соңрак,CVS-SVC
тотына,тотына,CV-CV-SV
үзе,үзе,V-CV
зачетларын,зачотларын,CV-CVC-SV-SVS
башкалардан,башкалардан,CVC-CV-SVS-CVS
алдан,алдан,VS-CVS
бирә,бирә,CV-SV
алдан,алдан,VS-CVS
котыла,котыла,CV-CV-SV
һәрбер,һәрбер,CVS-CVS
нәрсә,нәрсә,SVS-CV
аңа,аңа,V-SV
күп,күп,CVC
көч,көч,CVC
куймый,куjмыj,CVS-SVS
әллә,әллә,VS-SV
ничек,ничек,SV-CVC
җиңел,җиңел,CV-SVS
бирелә,бирелә,CV-SV-SV
янар,jанар,SV-SVS
яшьлегенең,jәшлегенең,SVC-SV-CV-SVS
алсу,алсу,VS-CV
таңы,таңы,CV-SV
үтмәс,үтмәс,VC-SVC
төсле,төсле,CVC-SV
булып,булып,CV-SVC
күренә,күренә,CV-SV-SV
ул,ул,VS
үзенә,үзенә,V-CV-SV
үзе,үзе,V-CV
хуҗа,хуҗа,CV-CV
бүген,бүген,CV-CVS
үзе,үзе,V-CV
акыллы,акыллы,V-CVS-SV
үзе,үзе,V-CV
сөйкемле,сөjкемле,CVS-CVS-SV
үзе,үзе,V-CV
усал,усал,V-CVS
үзе,үзе,V-CV
болай,болаj,CV-SVS
бер,бер,CVS
дә,дә,CV
усал,усал,V-CVS
түгел,түгел,CV-CVS
кебек,кебек,CV-CVC
шикелле,шикелле,CV-CVS-SV
