original,phonetic,syllables,syl_number,word_len
сулап,сулап,CV-SVC,2,5
мәҗүсиләр,мәҗүсиләр,SV-CV-CV-SVS,4,9
читтә,читтә,CVC-CV,2,5
торсын,торсын,CVS-CVS,2,6
бии,бии,CV-V,2,3
бии,бии,CV-V,2,3
ут,ут,VC,1,2
тирәли,тирәли,CV-SV-SV,3,6
ярмаланып,jармаланып,SVS-SV-SV-SVC,4,10
пешкән,пешкән,CVC-CVS,2,6
татлы,татлы,CVC-SV,2,5
бәрәңгенең,бәрәңгенең,CV-SVS-CV-SVS,4,10
үзәгенә,үзәгенә,V-CV-CV-SV,4,7
пешә,пешә,CV-CV,2,4
пешә,пешә,CV-CV,2,4
ап,ап,VC,1,2
ак,ак,VC,1,2
вак,вак,CVC,1,3
вак,вак,CVC,1,3
тешләремне,тешләремне,CVC-SV-SVS-SV,4,10
батыруның,батыруның,CV-CV-SV-SVS,4,9
ләззәтлеген,ләззәтлеген,SVC-CVC-SV-CVS,4,11
балачагым,балачагым,CV-SV-CV-CVS,4,9
язын,jазын,SV-CVS,2,5
гомерем,гомерем,CV-SV-SVS,3,7
буе,буjы,CV-SV,2,4
сездән,сездән,CVC-CVS,2,6
алам,алам,V-SVS,2,4
көч,көч,CVC,1,3
һәм,һәм,CVS,1,3
акыл,акыл,V-CVS,2,4
җанлы,җанлы,CVS-SV,2,5
фигыль,фигыл,CV-CVS,2,5
һәм,һәм,CVS,1,3
сәгадәт,сәгадәт,CV-CV-CVC,3,7
балачактан,балачактан,CV-SV-CVC-CVS,4,10
җанга,җанга,CVS-CV,2,5
сеңгән,сеңгән,CVS-CVS,2,6
язмышымның,jазмышымның,SVC-SV-CVS-SVS,4,11
орлыклары,орлыклары,VS-SVC-SV-SV,4,9
бу,бу,CV,1,2
дүрт,дүрт,CVSC,1,4
фасыл,фасыл,CV-CVS,2,5
бу,бу,CV,1,2
дүрт,дүрт,CVSC,1,4
мизгел,мизгел,SVC-CVS,2,6
бу,бу,CV,1,2
дүрт,дүрт,CVSC,1,4
халәт,халәт,CV-SVC,2,5
