original,phonetic,syllables,syl_number,word_len
каеннар,каjыннар,CV-SVS-SVS,3,8
төбендә,төбендә,CV-CVS-CV,3,7
кузгалаклар,кузгалаклар,CVC-CV-SVC-SVS,4,11
гөмбәләр,гөмбәләр,CVS-CV-SVS,3,8
берлә,берлә,CVS-SV,2,5
бергә,бергә,CVS-CV,2,5
үсә,үсә,V-CV,2,3
аллы,аллы,VS-SV,2,4
гөлле,гөлле,CVS-SV,2,5
гөлләр,гөлләр,CVS-SVS,2,6
гонҗәләр,гонҗәләр,CVS-CV-SVS,3,8
ак,ак,VC,1,2
кызыл,кызыл,CV-CVS,2,5
ал,ал,VS,1,2
сап,сап,CVC,1,3
сары,сары,CV-SV,2,4
зәңгәр,зәңгәр,CVS-CVS,2,6
яшелдән,jәшелдән,SV-CVS-CVS,3,8
чәчкәләр,чәчкәләр,CVC-CV-SVS,3,8
һәр,һәр,CVS,1,3
тарафка,тарафка,CV-SVC-CV,3,7
тәмле,тәмле,CVS-SV,2,5
исләр,исләр,VC-SVS,2,5
чәчкәли,чәчкәли,CVC-CV-SV,3,7
бу,бу,CV,1,2
чәчкәләр,чәчкәләр,CVC-CV-SVS,3,8
үпкәлиләр,үпкәлиләр,VC-CV-SV-SVS,4,9
чәчкәләрне,чәчкәләрне,CVC-CV-SVS-SV,4,10
төрле,төрле,CVS-SV,2,5
төсле,төсле,CVC-SV,2,5
күбәләк,күбәләк,CV-CV-SVC,3,7
ләр,ләр,SVS,1,3
килеп,килеп,CV-SVC,2,5
киткән,киткән,CVC-CVS,2,6
булып,булып,CV-SVC,2,5
тагын,тагын,CV-CVS,2,5
да,да,CV,1,2
шунда,шунда,CVS-CV,2,5
чүгәләп,чүгәләп,CV-CV-SVC,3,7
бервакыт,берwакыт,CVS-SV-CVC,3,8
чут,чут,CVC,1,3
чут,чут,CVC,1,3
итеп,итеп,V-CVC,2,4
сайрый,саjрыj,CVS-SVS,2,6
ходайның,ходаjның,CV-CVS-SVS,3,8
кошлары,кошлары,CVC-SV-SV,3,7
китә,китә,CV-CV,2,4
җаннарны,җаннарны,CVS-SVS-SV,3,8
кисеп,кисеп,CV-CVC,2,5
ярып,jарып,SV-SVC,2,5
садаи,садаи,CV-CV-V,3,5
хушлары,хушлары,CVC-SV-SV,3,7
монда,монда,SVS-CV,2,5
бульварлар,булварлар,CVS-CVS-SVS,3,9
клуб,клуб,CSVC,1,4
һәм,һәм,CVS,1,3
танцевальня,танцевална,CVS-CV-CVS-SV,4,10
цирк,цирк,CVSC,1,4
та,та,CV,1,2
шул,шул,CVS,1,3
монда,монда,SVS-CV,2,5
оркестр,оркестр,VS-CVCCS,2,7
театрлар,театрлар,CV-VCS-SVS,3,8
да,да,CV,1,2
шул,шул,CVS,1,3
концерт,концерт,CVS-CVSC,2,7
та,та,CV,1,2
шул,шул,CVS,1,3
зур,зур,CVS,1,3
бу,бу,CV,1,2
урман,урман,VS-SVS,2,5
читләре,читләре,CVC-SV-SV,3,7
күренмидер,күренмидер,CV-SVS-SV-CVS,4,10
диңгез,диңгез,CVS-CVC,2,6
кеби,кеби,CV-CV,2,4
биниһая,биниһаjа,CV-SV-CV-SV,4,8
бихисаптыр,бихисаптыр,CV-CV-CVC-CVS,4,10
гаскәри,гаскәри,CVC-CV-SV,3,7
чыңгыз,чыңгыз,CVS-CVC,2,6
кеби,кеби,CV-CV,2,4
кылт,кылт,CVSC,1,4
итеп,итеп,V-CVC,2,4
искә,искә,VC-CV,2,4
төшәдер,төшәдер,CV-CV-CVS,3,7
намнары,намнары,SVS-SV-SV,3,7
дәүләтләре,дәwләтләре,CVS-SVC-SV-SV,4,10
карт,карт,CVSC,1,4
бабайларның,бабаjларның,CV-CVS-SVS-SVS,4,11
моны,моны,SV-SV,2,4
күрсәң,күрсәң,CVS-CVS,2,6
бөтен,бөтен,CV-CVS,2,5
сауләтләре,саwләтләре,CVS-SVC-SV-SV,4,10
ачыла,ачыла,V-CV-SV,3,5
алдында,алдында,VS-CVS-CV,3,7
тарихтан,тарихтан,CV-SVC-CVS,3,8
театр,театр,CV-VCS,2,5
пәрдәсе,пәрдәсе,CVS-CV-CV,3,7
аһ,аһ,VC,1,2
дисең,дисең,CV-CVS,2,5
без,без,CVC,1,3
ник,ник,SVC,1,3
болай,болаj,CV-SVS,2,5
соң,соң,CVS,1,3
без,без,CVC,1,3
дә,дә,CV,1,2
хакның,хакның,CVC-SVS,2,6
бәндәсе,бәндәсе,CVS-CV-CV,3,7
җәй,җәj,CVS,1,3
көнен,көнен,CV-SVS,2,5
яздым,jаздым,SVC-CVS,2,6
бераз,бераз,CV-SVC,2,5
язмыйм,jазмыjм,SVC-SVSS,2,7
әле,әле,V-SV,2,3
кыш,кыш,CVC,1,3
көзләрен,көзләрен,CVC-SV-SVS,3,8
алсу,алсу,VS-CV,2,4
йөзле,jөзле,SVC-SV,2,5
кара,кара,CV-SV,2,4
кашлы,кашлы,CVC-SV,2,5
кара,кара,CV-SV,2,4
күзле,күзле,CVC-SV,2,5
кызларын,кызларын,CVC-SV-SVS,3,8
бу,бу,CV,1,2
авылның,аwылның,V-SVS-SVS,3,7
мин,мин,SVS,1,3
җыен,җыjын,CV-SVS,2,5
мәйдан,мәjдан,SVS-CVS,2,6
сабаны,сабаны,CV-CV-SV,3,6
туйларын,туjларын,CVS-SV-SVS,3,8
язмыймын,jазмыjмын,SVC-SVS-SVS,3,9
куркып,куркып,CVS-CVC,2,6
еракларга,jыракларга,SV-SVC-SVS-CV,4,10
китәр,китәр,CV-CVS,2,5
дип,дип,CVC,1,3
уйларым,уjларым,VS-SV-SVS,3,7
тукта,тукта,CVC-CV,2,5
мин,мин,SVS,1,3
юлдин,jүлдин,SVS-CVS,2,6
адашканмын,адашканмын,V-CVC-CVS-SVS,4,10
икән,икән,V-CVS,2,4
бит,бит,CVC,1,3
күр,күр,CVS,1,3
әле,әле,V-SV,2,3
әллә,әллә,VS-SV,2,4
ник,ник,SVC,1,3
истән,истән,VC-CVS,2,5
дә,дә,CV,1,2
чыккан,чыккан,CVC-CVS,2,6
сүз,сүз,CVC,1,3
башым,башым,CV-CVS,2,5
бит,бит,CVC,1,3
шүрәле,шүрәле,CV-SV-SV,3,6
аз,аз,VC,1,2
гына,гына,CV-SV,2,4
сабрит,сабрит,CVC-SVC,2,6
әле,әле,V-SV,2,3
әй,әj,VS,1,2
кариэм,кариэм,CV-SV-VS,3,6
хәзер,хәзер,CV-CVS,2,5
язам,jазам,SV-CVS,2,5
уйласам,уjласам,VS-SV-CVS,3,7
аулымны,аwлымны,VS-SVS-SV,3,7
гакълымнан,гаклымнан,CVC-SVS-SVS,3,9
да,да,CV,1,2
мин,мин,SVS,1,3
хәзер,хәзер,CV-CVS,2,5
язам,jазам,SV-CVS,2,5
билгеле,билгеле,CVS-CV-SV,3,7
бу,бу,CV,1,2
кап,кап,CVC,1,3
кара,кара,CV-SV,2,4
урманда,урманда,VS-SVS-CV,3,7
һәр,һәр,CVS,1,3
ерткыч,jырткыч,SVSC-CVC,2,7
та,та,CV,1,2
бар,бар,CVS,1,3
юк,jук,SVC,1,3
түгел,түгел,CV-CVS,2,5
аю,аjу,V-SV,2,3
бүре,бүре,CV-SV,2,4
төлке,төлке,CVS-CV,2,5
җиһан,җиһан,CV-CVS,2,5
корткыч,корткыч,CVSC-CVC,2,7
та,та,CV,1,2
бар,бар,CVS,1,3
һәм,һәм,CVS,1,3
дә,дә,CV,1,2
бар,бар,CVS,1,3
монда,монда,SVS-CV,2,5
куян,куjан,CV-SVS,2,5
әрлән,әрлән,VS-SVS,2,5
тиен,тиjен,CV-SVS,2,5
йомран,jомран,SVS-SVS,2,6
поши,поши,CV-CV,2,4
очрата,очрата,VC-SV-CV,3,6
аучы,аwчы,VS-CV,2,4
булып,булып,CV-SVC,2,5
урманда,урманда,VS-SVS-CV,3,7
күп,күп,CVC,1,3
йөргән,jөргән,SVS-CVS,2,6
кеше,кеше,CV-CV,2,4
бик,бик,CVC,1,3
куе,куjы,CV-SV,2,4
булганга,булганга,CVS-CVS-CV,3,8
монда,монда,SVS-CV,2,5
җен,җен,CVS,1,3
пәриләр,пәриләр,CV-SV-SVS,3,7
бар,бар,CVS,1,3
диләр,диләр,CV-SVS,2,5
төрле,төрле,CVS-SV,2,5
албасты,албасты,VS-CVC-CV,3,7
убырлар,убырлар,V-CVS-SVS,3,7
шүрәлеләр,шүрәлеләр,CV-SV-SV-SVS,4,9
бар,бар,CVS,1,3
диләр,диләр,CV-SVS,2,5
һич,һич,CVC,1,3
гаҗәп,гаҗәп,CV-CVC,2,5
юк,jук,SVC,1,3
булса,булса,CVS-CV,2,5
булыр,булыр,CV-SVS,2,5
бик,бик,CVC,1,3
калын,калын,CV-SVS,2,5
бик,бик,CVC,1,3
күп,күп,CVC,1,3
бит,бит,CVC,1,3
ул,ул,VS,1,2
күктә,күктә,CVC-CV,2,5
ни,ни,SV,1,2
булмас,булмас,CVS-SVC,2,6
дисең,дисең,CV-CVS,2,5
очсыз,очсыз,VC-CVC,2,5
кырыйсыз,кырыjсыз,CV-SVS-CVC,3,8
күк,күк,CVC,1,3
бит,бит,CVC,1,3
ул,ул,VS,1,2
шул,шул,CVS,1,3
турыдан,турыдан,CV-SV-CVS,3,7
аз,аз,VC,1,2
гына,гына,CV-SV,2,4
биш,биш,CVC,1,3
алты,алты,VS-CV,2,4
сүз,сүз,CVC,1,3
сөйлим,сөjлим,CVS-SVS,2,6
әле,әле,V-SV,2,3
гадәтемчә,гадәтемчә,CV-CV-CVS-CV,4,9
аз,аз,VC,1,2
гына,гына,CV-SV,2,4
җырлыйм,җырлыjм,CVS-SVSS,2,7
әле,әле,V-SV,2,3
көйлим,көjлим,CVS-SVS,2,6
әле,әле,V-SV,2,3
бик,бик,CVC,1,3
матур,матур,SV-CVS,2,5
бер,бер,CVS,1,3
айлы,аjлы,VS-SV,2,4
кичтә,кичтә,CVC-CV,2,5
бу,бу,CV,1,2
авылның,аwылның,V-SVS-SVS,3,7
бер,бер,CVS,1,3
җегет,җегет,CV-CVC,2,5
киткән,киткән,CVC-CVS,2,6
урманга,урманга,VS-SVS-CV,3,7
утынга,утынга,V-CVS-CV,3,6
ялгызы,jалгызы,SVS-CV-CV,3,7
бер,бер,CVS,1,3
ат,ат,VC,1,2
җигеп,җигеп,CV-CVC,2,5
тиз,тиз,CVC,1,3
барып,барып,CV-SVC,2,5
җиткән,җиткән,CVC-CVS,2,6
җегет,җегет,CV-CVC,2,5
эшкә,эшкә,VC-CV,2,4
тотынган,тотынган,CV-CVS-CVS,3,8
баргач,баргач,CVS-CVC,2,6
ук,ук,VC,1,2
кисә,кисә,CV-CV,2,4
башлаган,башлаган,CVC-SV-CVS,3,8
утынны,утынны,V-CVS-SV,3,6
балта,балта,CVS-CV,2,5
берлән,берлән,CVS-SVS,2,6
тук,тук,CVC,1,3
та,та,CV,1,2
тук,тук,CVC,1,3
җәйге,җәjге,CVS-CV,2,5
төннең,төннең,CVS-SVS,2,6
гадәтенчә,гадәтенчә,CV-CV-CVS-CV,4,9
төн,төн,CVS,1,3
бераз,бераз,CV-SVC,2,5
салкын,салкын,CVS-CVS,2,6
икән,икән,V-CVS,2,4
барча,барча,CVS-CV,2,5
кош,кош,CVC,1,3
корт,корт,CVSC,1,4
йоклаган,jоклаган,SVC-SV-CVS,3,8
булганга,булганга,CVS-CVS-CV,3,8
урман,урман,VS-SVS,2,5
тын,тын,CVS,1,3
икән,икән,V-CVS,2,4
шундый,шундыj,CVS-CVS,2,6
тын,тын,CVS,1,3
яхшы,jахшы,SVC-CV,2,5
һавада,һаwада,CV-SV-CV,3,6
безнең,безнең,CVC-SVS,2,6
утынчы,утынчы,V-CVS-CV,3,6
исә,исә,V-CV,2,3
алны,алны,VS-SV,2,4
артны,артны,VSC-SV,2,5
уңны,уңны,VS-SV,2,4
сулны,сулны,CVS-SV,2,5
белмичә,белмичә,CVS-SV-CV,3,7
утын,утын,V-CVS,2,4
кисә,кисә,CV-CV,2,4
балтасы,балтасы,CVS-CV-CV,3,7
кулда,кулда,CVS-CV,2,5
җегет,җегет,CV-CVC,2,5
эштән,эштән,VC-CVS,2,5
бераз,бераз,CV-SVC,2,5
туктап,туктап,CVC-CVC,2,6
тора,тора,CV-SV,2,4
тукта,тукта,CVC-CV,2,5
чү,чү,CV,1,2
ямьсез,jәмсез,SVS-CVC,2,6
тавышлы,таwышлы,CV-SVC-SV,3,7
әллә,әллә,VS-SV,2,4
нәрсә,нәрсә,SVS-CV,2,5
кычкыра,кычкыра,CVC-CV-SV,3,7
сискәнеп,сискәнеп,CVC-CV-SVC,3,8
безнең,безнең,CVC-SVS,2,6
җегет,җегет,CV-CVC,2,5
катып,катып,CV-CVC,2,5
кала,кала,CV-SV,2,4
аягүрә,аjагүрә,V-SV-CV-SV,4,7
аңламастан,аңламастан,VS-SV-SVC-CVS,4,10
каршысында,каршысында,CVS-CV-CVS-CV,4,10
әллә,әллә,VS-SV,2,4
нинди,нинди,SVS-CV,2,5
ят,jат,SVC,1,3
күрә,күрә,CV-SV,2,4
нәрсә,нәрсә,SVS-CV,2,5
бу,бу,CV,1,2
качкынмы,качкынмы,CVC-CVS-SV,3,8
җенме,җенме,CVS-SV,2,5
йә,jә,SV,1,2
өрәкме,өрәкме,V-SVC-SV,3,6
нәрсә,нәрсә,SVS-CV,2,5
бу,бу,CV,1,2
кот,кот,CVC,1,3
очарлык,очарлык,V-CVS-SVC,3,7
бик,бик,CVC,1,3
килешсез,килешсез,CV-SVC-CVC,3,8
әллә,әллә,VS-SV,2,4
нинди,нинди,SVS-CV,2,5
нәрсә,нәрсә,SVS-CV,2,5
бу,бу,CV,1,2
борыны,борыны,CV-SV-SV,3,6
кәп,кәп,CVC,1,3
кәкре,кәкре,CVC-SV,2,5
бөгелгәндер,бөгелгәндер,CV-CVS-CVS-CVS,4,11
тәмам,тәмам,CV-SVS,2,5
кармак,кармак,CVS-SVC,2,6
кеби,кеби,CV-CV,2,4
төз,төз,CVC,1,3
түгел,түгел,CV-CVS,2,5
куллар,куллар,CVS-SVS,2,6
аяклар,аjаклар,V-SVC-SVS,3,7
да,да,CV,1,2
ботак,ботак,CV-CVC,2,5
тармак,тармак,CVS-SVC,2,6
кеби,кеби,CV-CV,2,4
ялтырый,jалтырыj,SVS-CV-SVS,3,8
ялт,jалт,SVSC,1,4
йолт,jолт,SVSC,1,4
киләдер,киләдер,CV-SV-CVS,3,7
эчкә,эчкә,VC-CV,2,4
баткан,баткан,CVC-CVS,2,6
күзләре,күзләре,CVC-SV-SV,3,7
кот,кот,CVC,1,3
очар,очар,V-CVS,2,4
күрсәң,күрсәң,CVS-CVS,2,6
әгәр,әгәр,V-CVS,2,4
төнлә,төнлә,CVS-SV,2,5
түгел,түгел,CV-CVS,2,5
көндезләре,көндезләре,CVS-CVC-SV-SV,4,10
яп,jап,SVC,1,3
ялангач,jалангач,SV-SVS-CVC,3,8
нәп,нәп,SVC,1,3
нәзек,нәзек,SV-CVC,2,5
ләкин,ләкин,SV-CVS,2,5
кеше,кеше,CV-CV,2,4
төсле,төсле,CVC-SV,2,5
үзе,үзе,V-CV,2,3
урта,урта,VS-CV,2,4
бармак,бармак,CVS-SVC,2,6
буйлыгы,буjлыгы,CVS-SV-CV,3,7
бар,бар,CVS,1,3
маңлаенда,маңлаjында,SVS-SV-SVS-CV,4,10
мөгезе,мөгезе,SV-CV-CV,3,6
кәкре,кәкре,CVC-SV,2,5
түгелдер,түгелдер,CV-CVS-CVS,3,8
моның,моның,SV-SVS,2,5
бармаклары,бармаклары,CVS-SVC-SV-SV,4,10
бик,бик,CVC,1,3
төз,төз,CVC,1,3
төзен,төзен,CV-CVS,2,5
тик,тик,CVC,1,3
килешсез,килешсез,CV-SVC-CVC,3,8
һәрбере,һәрбере,CVS-CV-SV,3,7
дә,дә,CV,1,2
ярты,jарты,SVS-CV,2,5
аршыннан,аршыннан,VS-CVS-SVS,3,8
озын,озын,V-CVS,2,4
шүрәле,шүрәле,CV-SV-SV,3,6
тыккан,тыккан,CVC-CVS,2,6
кулын,кулын,CV-SVS,2,5
селкенмидер,селкенмидер,CVS-CVS-SV-CVS,4,11
кузгалмыйдыр,кузгалмыjдыр,CVC-CVS-SVS-CVS,4,12
белми,белми,CVS-SV,2,5
инсан,инсан,VS-CVS,2,5
хәйләсен,хәjләсен,CVS-SV-CVS,3,8
һич,һич,CVC,1,3
балтага,балтага,CVS-CV-CV,3,7
күз,күз,CVC,1,3
салмыйдыр,салмыjдыр,CVS-SVS-CVS,3,9
суккалый,суккалыj,CVC-CV-SVS,3,8
торгач,торгач,CVS-CVC,2,6
ахырда,ахырда,V-CVS-CV,3,6
чөй,чөj,CVS,1,3
чыгып,чыгып,CV-CVC,2,5
бушап,бушап,CV-CVC,2,5
китеп,китеп,CV-CVC,2,5
шүрәленең,шүрәленең,CV-SV-SV-SVS,4,9
бармагы,бармагы,CVS-SV-CV,3,7
калды,калды,CVS-CV,2,5
кысылды,кысылды,CV-CVS-CV,3,7
шап,шап,CVC,1,3
итеп,итеп,V-CVC,2,4
сизде,сизде,CVC-CV,2,5
эшне,эшне,VC-SV,2,4
шүрәле,шүрәле,CV-SV-SV,3,6
дә,дә,CV,1,2
кычкыра,кычкыра,CVC-CV-SV,3,7
да,да,CV,1,2
бакыра,бакыра,CV-CV-SV,3,6
сызлана,сызлана,CVC-SV-SV,3,7
һәм,һәм,CVS,1,3
ярдәменә,jәрдәменә,SVS-CV-SV-SV,4,9
шүрәлеләр,шүрәлеләр,CV-SV-SV-SVS,4,9
чакыра,чакыра,CV-CV-SV,3,6
хәзер,хәзер,CV-CVS,2,5
инде,инде,VS-CV,2,4
шүрәле,шүрәле,CV-SV-SV,3,6
безнең,безнең,CVC-SVS,2,6
җегеткә,җегеткә,CV-CVC-CV,3,7
ялына,jалына,SV-SV-SV,3,6
тәүбә,тәwбә,CVS-CV,2,5
итә,итә,V-CV,2,3
эшләреннән,эшләреннән,VC-SV-SVS-SVS,4,10
изгелеккә,изгелеккә,VC-CV-SVC-CV,4,9
салына,салына,CV-SV-SV,3,6
син,син,CVS,1,3
бераз,бераз,CV-SVC,2,5
кызган,кызган,CVC-CVS,2,6
мине,мине,SV-SV,2,4
коткарчы,коткарчы,CVC-CVS-CV,3,8
и,и,V,1,1
адәмгенәм,адәмгенәм,V-CVS-CV-SVS,4,9
мондин,мондин,SVS-CVS,2,6
ары,ары,V-SV,2,3
үзеңә,үзеңә,V-CV-SV,3,5
угълыңа,углыңа,VC-SV-SV,3,6
нәслеңгә,нәслеңгә,SVC-SVS-CV,3,8
тимәм,тимәм,CV-SVS,2,5
башкалардан,башкалардан,CVC-CV-SVS-CVS,4,11
да,да,CV,1,2
тидермәм,тидермәм,CV-CVS-SVS,3,8
ул,ул,VS,1,2
минем,минем,SV-SVS,2,5
дустым,дустым,CVC-CVS,2,6
диеп,диjеп,CV-SVC,2,5
аңар,аңар,V-SVS,2,4
урманда,урманда,VS-SVS-CV,3,7
йөрергә,jөрергә,SV-SVS-CV,3,7
мин,мин,SVS,1,3
үзем,үзем,V-CVS,2,4
куштым,куштым,CVC-CVS,2,6
диеп,диjеп,CV-SVC,2,5
бик,бик,CVC,1,3
авырта,аwырта,V-SVS-CV,3,6
кулларым,кулларым,CVS-SV-SVS,3,8
дустым,дустым,CVC-CVS,2,6
җибәр,җибәр,CV-CVS,2,5
зинһар,зинһар,CVS-CVS,2,6
җибәр,җибәр,CV-CVS,2,5
шүрәлене,шүрәлене,CV-SV-SV-SV,4,8
рәнҗетүдән,рәнҗетүдән,SVS-CV-CV-CVS,4,10
нәрсә,нәрсә,SVS-CV,2,5
бар,бар,CVS,1,3
сиңа,сиңа,CV-SV,2,4
ни,ни,SV,1,2
бар,бар,CVS,1,3
тибрәнә,тибрәнә,CVC-SV-SV,3,7
дә,дә,CV,1,2
йолкына,jолкына,SVS-CV-SV,3,7
бичара,бичара,CV-CV-SV,3,6
гакълыннан,гаклыннан,CVC-SVS-SVS,3,9
шаша,шаша,CV-CV,2,4
шул,шул,CVS,1,3
арада,арада,V-SV-CV,3,5
яшь,jәш,SVC,1,3
җегет,җегет,CV-CVC,2,5
өйгә,өjгә,VS-CV,2,4
китәргә,китәргә,CV-CVS-CV,3,7
маташа,маташа,SV-CV-CV,3,6
ат,ат,VC,1,2
башыннан,башыннан,CV-CVS-SVS,3,8
тоткан,тоткан,CVC-CVS,2,6
ул,ул,VS,1,2
бу,бу,CV,1,2
шүрәлене,шүрәлене,CV-SV-SV-SV,4,8
белми,белми,CVS-SV,2,5
дә,дә,CV,1,2
ул,ул,VS,1,2
моның,моның,SV-SVS,2,5
фөрьядларын,фөрjадларын,CVS-SVC-SV-SVS,4,11
асла,асла,VC-SV,2,4
колакка,колакка,CV-SVC-CV,3,7
элми,элми,VS-SV,2,4
дә,дә,CV,1,2
и,и,V,1,1
җегет,җегет,CV-CVC,2,5
һич,һич,CVC,1,3
юк,jук,SVC,1,3
икәндер,икәндер,V-CVS-CVS,3,7
мәрхәмәт,мәрхәмәт,SVS-CV-SVC,3,8
хиссең,хиссең,CVC-CVS,2,6
синең,синең,CV-SVS,2,5
әйтче,әjтче,VSC-CV,2,5
зинһар,зинһар,CVS-CVS,2,6
мәрхәмәтсез,мәрхәмәтсез,SVS-CV-SVC-CVC,4,11
кем,кем,CVS,1,3
син,син,CVS,1,3
исмең,исмең,VC-SVS,2,5
кем,кем,CVS,1,3
синең,синең,CV-SVS,2,5
иртәгә,иртәгә,VS-CV-CV,3,6
килгәнче,килгәнче,CVS-CVS-CV,3,8
дустлар,дустлар,CVCC-SVS,2,7
тәндә,тәндә,CVS-CV,2,5
җаным,җаным,CV-SVS,2,5
торса,торса,CVS-CV,2,5
гәр,гәр,CVS,1,3
шул,шул,CVS,1,3
фәлән,фәлән,CV-SVS,2,5
атлы,атлы,VC-SV,2,4
кеше,кеше,CV-CV,2,4
кысты,кысты,CVC-CV,2,5
диермен,диjермен,CV-SVS-SVS,3,8
сорсалар,сорсалар,CVS-CV-SVS,3,8
әйтсәм,әjтсәм,VSC-CVS,2,6
әйтим,әjтим,VS-CVS,2,5
син,син,CVS,1,3
белеп,белеп,CV-SVC,2,5
кал,кал,CVS,1,3
чын,чын,CVS,1,3
атым,атым,V-CVS,2,4
былтыр,былтыр,CVS-CVS,2,6
минем,минем,SV-SVS,2,5
бу,бу,CV,1,2
җегет,җегет,CV-CVC,2,5
абзаң,абзаң,VC-CVS,2,5
булыр,булыр,CV-SVS,2,5
бу,бу,CV,1,2
бик,бик,CVC,1,3
белеп,белеп,CV-SVC,2,5
тор,тор,CVS,1,3
син,син,CVS,1,3
энем,энем,V-SVS,2,4
шүрәле,шүрәле,CV-SV-SV,3,6
фөрьяд,фөрjад,CVS-SVC,2,6
итәдер,итәдер,V-CV-CVS,3,6
аудан,аwдан,VS-CVS,2,5
ычкынмак,ычкынмак,VC-CVS-SVC,3,8
була,була,CV-SV,2,4
һәм,һәм,CVS,1,3
дә,дә,CV,1,2
ычкынгач,ычкынгач,VC-CVS-CVC,3,8
җегеткә,җегеткә,CV-CVC-CV,3,7
бер,бер,CVS,1,3
бер,бер,CVS,1,3
эш,эш,VC,1,2
кылмак,кылмак,CVS-SVC,2,6
була,була,CV-SV,2,4
кычкыра,кычкыра,CVC-CV-SV,3,7
кысты,кысты,CVC-CV,2,5
харап,харап,CV-SVC,2,5
итте,итте,VC-CV,2,4
явыз,jаwыз,SV-SVC,2,5
былтыр,былтыр,CVS-CVS,2,6
мине,мине,SV-SV,2,4
аһ,аһ,VC,1,2
